keyword,title,author,duration,play,bvid,score
周杰伦 晴天,【4K修复】周杰伦 - 晴天MV 2160P修复版,zyl2012_音乐无限,317,16736561,BV1d4411N7zD,1
周杰伦 晴天,【周杰伦】只听人声你就亏了(32)《晴天》伴奏完全拆解.,MiDi匠做MiDi,687,549736,BV1PL4y1z7Py,0
周杰伦 晴天,在百万级豪华录音棚试听周杰伦《晴天》【Hi-Res】,JLRS-jayfm,275,3991928,BV1WG411M7TH,1
周杰伦 晴天,《晴天》周杰伦-钢琴教程（4/5级）,梦露piano,0,20212,,0
周杰伦 晴天,【锐评】周杰伦新专辑全专测评！《太阳之子》专辑有那么差吗？（上）,特别厉害的祁奕翔,1552,733436,BV1yFQUBMEtw,0
周杰伦 晴天,没收尾的歌，你才最喜欢｜周杰伦为什么没有把《晴天》尾奏写进去？其实...,江昊HHAOOO,455,581793,BV1b8BrBtEWa,0
周杰伦 晴天,从《晴天》到《那天下雨了》他用整个青春，补上了那句没说出口的再见。,JLRS-jayfm,224,1705903,BV1jbQ1BQEho,0
周杰伦 晴天,“从前从前有个人爱你很久”-周杰伦《晴天》,JLRS-LeoFM,270,792926,BV1DbFszzEYm,3
周杰伦 晴天,从夯到拉！锐评周杰伦《太阳之子》新专辑所有歌曲！,Jason-老湿,1911,606087,BV1hqX4B4EHG,0
周杰伦 晴天,【新歌】周杰伦《那天下雨了》超感人新歌！《晴天》的秘密,音乐私藏馆,226,597807,BV1QtXsBREdm,0
周杰伦 晴天,【锐评】周杰伦新专辑有那么差吗？《太阳之子》全专测评（下）！,特别厉害的祁奕翔,1961,393049,BV1qwXxBaEeM,0
周杰伦 晴天,【4K60FPS】周杰伦《晴天》神级现场！祝大家新年快乐！,音乐私藏馆,265,7476171,BV1Yv4y1Z7km,1
周杰伦 晴天,我不允许周杰伦进步,香蕉熊特别6,484,24061,BV1WuXPB7Eqc,0
周杰伦 晴天,晴天-周杰伦【Hi-Res无损音质】,希声音乐,270,829979,BV1NHxrz6Ek4,3
周杰伦 晴天,周杰伦新专最爱的一首!!!《那天下雨了》致敬晴天唯有感动感动 时间带给人的不止有沉重 【Reaction】,ADBABY打你屁屁,613,175407,BV1m9QmBGEUt,0
周杰伦 晴天,你有见过十个周杰伦一起合唱《晴天》吗？,JANHISN,299,323833,BV1M44y1s77w,0
周杰伦 晴天,最强大脑：周杰伦就唱了两句《晴天》的歌词，连孟非都变成迷弟了,待你如初ai,116,4320640,BV1Wt411v7zM,0
周杰伦 晴天,周杰伦新歌『那天下雨了』“我应该对你唱着晴天~”【翻唱】,思诺snow,224,11839,BV1eRXTBVEDb,0
周杰伦 晴天,听笑了吗？《女儿殿下》周杰伦｜百万级录音棚试听,JLRS-jayfm,226,1528465,BV1EaQSBKEHb,0
周杰伦 晴天,周杰伦《晴天》和弦编配分析,乐感音乐楚老师,279,3125,BV1uG62YXEZF,0
起风了,【4K60FPS】林俊杰《起风了》神级现场！我曾将青春翻涌成她！,音乐私藏馆,309,16923837,BV1NU4y137PZ,1
起风了,原版《起风了》买辣椒也用券【纯享收藏级】,香风小海,310,18114711,BV1D64y1Z7Ko,1
起风了,《起风了》钢琴教程（5/6级）,梦露piano,0,20961,,0
起风了,国外声乐老师对比 周深 林俊杰 吴青峰 高桥优《起风了》REACTION,JKAI杰凯,4220,1579070,BV1e5411q71K,0
起风了,【4K60FPS修复】林俊杰宠粉福利咸阳站再唱经典歌曲《起风了》 The Wind Rises Live,林距离音乐君,307,220657,BV1Zw411s7Ad,1
起风了,在百万豪装录音棚大声听买辣椒也用券《起风了》【Hi-res】,JLRS-LeoFM,330,3832977,BV1Z84y1476V,3
起风了,【吴青峰】再听一次《起风了》，再唱一次青春的歌,网易云音乐,304,61859,BV1R7TezWE74,1
起风了,尽力局！歌曲教学《起风了》林俊杰版本 简单教唱,彭休休教唱歌,132,1399694,BV1Wr4y1r7ye,0
起风了,在百万豪装录音棚大声听周深《起风了》【Hi-res】,JLRS-LeoFM,316,1767247,BV1VD4y1W7We,3
起风了,【林俊杰】-《起风了》-最燃高音版！【极致蓝光收藏版】,音乐詩人,328,25278384,BV14E411i7ar,1
起风了,【林俊杰】-《起风了》音高测量+无伴奏版,爱吃果果的噜噜噜,598,119608,BV1D64y1m7ZK,0
